Target Distance: 50, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (-1.25864, -1.55429)
2: (x,y) = (0.204067, -2.91829)
3: (x,y) = (0.985529, -1.07728)
4: (x,y) = (2.95514, -1.42458)
5: (x,y) = (4.76776, -2.26981)
6: (x,y) = (4.28392, -4.2104)
7: (x,y) = (6.27296, -4.41946)
8: (x,y) = (7.78238, -5.73158)
9: (x,y) = (8.59585, -7.55867)
10: (x,y) = (8.59585, -5.55867)
11: (x,y) = (7.13315, -6.92267)
12: (x,y) = (7.13315, -8.92267)
13: (x,y) = (9.08944, -9.33849)
14: (x,y) = (7.47141, -8.16292)
15: (x,y) = (7.71514, -10.148)
16: (x,y) = (5.73005, -9.90427)
17: (x,y) = (3.73492, -10.0438)
18: (x,y) = (3.42206, -12.0192)
19: (x,y) = (2.64059, -13.8602)
20: (x,y) = (2.64059, -15.8602)
21: (x,y) = (4.62964, -16.0692)
22: (x,y) = (5.47487, -17.8818)
23: (x,y) = (5.33536, -19.877)
24: (x,y) = (5.40516, -21.8758)
25: (x,y) = (3.87307, -23.1613)
26: (x,y) = (1.90982, -23.5429)
27: (x,y) = (3.82243, -22.9582)
28: (x,y) = (4.82243, -24.6903)
29: (x,y) = (6.49977, -25.7795)
30: (x,y) = (8.34078, -26.561)
31: (x,y) = (10.3104, -26.2137)
32: (x,y) = (10.9615, -24.3227)
33: (x,y) = (9.01279, -23.8728)
34: (x,y) = (9.42861, -21.9165)
35: (x,y) = (10.3982, -20.1672)
36: (x,y) = (12.3388, -19.6834)
37: (x,y) = (10.5412, -20.5601)
38: (x,y) = (11.6884, -18.9218)
39: (x,y) = (9.87577, -19.7671)
40: (x,y) = (8.34368, -18.4815)
41: (x,y) = (10.2563, -17.8967)
42: (x,y) = (11.2563, -19.6288)
43: (x,y) = (12.5149, -18.0745)
44: (x,y) = (14.5073, -17.9002)
45: (x,y) = (14.6816, -15.9078)
46: (x,y) = (16.3777, -16.9676)
47: (x,y) = (17.6364, -15.4133)
48: (x,y) = (17.6015, -17.413)
49: (x,y) = (17.2198, -15.4498)
50: (x,y) = (18.1588, -17.2157)
51: (x,y) = (19.4174, -15.6614)
52: (x,y) = (21.0948, -16.7507)
53: (x,y) = (20.5771, -14.8188)
54: (x,y) = (18.6075, -15.1661)
55: (x,y) = (17.8583, -13.3117)
56: (x,y) = (19.4966, -14.4589)
57: (x,y) = (18.9119, -16.3715)
58: (x,y) = (17.6532, -14.8172)
59: (x,y) = (16.1905, -13.4532)
60: (x,y) = (14.6584, -14.7388)
61: (x,y) = (14.0737, -12.8262)
62: (x,y) = (12.3776, -11.7663)
63: (x,y) = (10.465, -11.1816)
64: (x,y) = (8.80691, -10.0632)
65: (x,y) = (8.52856, -8.08268)
66: (x,y) = (7.08988, -9.47199)
67: (x,y) = (8.78598, -8.41215)
68: (x,y) = (9.90436, -10.0702)
69: (x,y) = (8.13847, -9.13129)
70: (x,y) = (7.07863, -10.8274)
71: (x,y) = (8.51731, -12.2167)
72: (x,y) = (6.55405, -11.8351)
73: (x,y) = (4.55527, -11.7653)
74: (x,y) = (6.54036, -11.5215)
75: (x,y) = (7.90436, -10.0588)
76: (x,y) = (7.66062, -12.0439)
77: (x,y) = (5.87861, -12.9519)
78: (x,y) = (5.60026, -10.9714)
79: (x,y) = (7.03894, -9.58206)
80: (x,y) = (5.03925, -9.61696)
